llave_sintetica,k
A_02_1_15-19,39
A_02_1_20-24,31
A_02_1_25-29,26
A_02_1_30-34,30
A_02_1_35-39,19
A_02_1_40-44,31
A_02_1_45-49,22
A_02_1_50-54,20
A_02_1_55-59,28
A_02_1_60-64,23
A_02_1_65-69,17
A_02_1_70-74,18
A_02_1_75-79,32
A_02_1_80-84,25
A_02_1_85 y más,36
A_02_2_15-19,33
A_02_2_25-29,44
A_02_2_30-34,39
A_02_2_35-39,27
A_02_2_40-44,21
A_02_2_45-49,35
A_02_2_50-54,29
A_02_2_55-59,26
A_02_2_60-64,31
A_02_2_65-69,39
A_02_2_70-74,31
A_02_2_75-79,38
A_02_2_80-84,25
A_02_2_85 y más,35
A_03_1_25-29,39
A_03_1_30-34,44
A_03_1_35-39,46
A_03_1_40-44,36
A_03_1_45-49,32
A_03_1_50-54,32
A_03_1_55-59,42
A_03_1_60-64,49
A_03_2_40-44,40
A_04_1_10-14,27
A_04_1_15-19,13
A_04_1_20-24,15
A_04_1_25-29,25
A_04_1_30-34,14
A_04_1_35-39,13
A_04_1_40-44,12
A_04_1_45-49,10
A_04_1_50-54,17
A_04_1_55-59,7
A_04_1_60-64,21
A_04_1_65-69,15
A_04_1_70-74,15
A_04_1_75-79,11
A_04_1_80-84,10
A_04_1_85 y más,14
A_04_2_10-14,20
A_04_2_15-19,12
A_04_2_20-24,17
A_04_2_25-29,14
A_04_2_30-34,19
A_04_2_35-39,22
A_04_2_40-44,18
A_04_2_45-49,15
A_04_2_5-9,45
A_04_2_50-54,20
A_04_2_55-59,12
A_04_2_60-64,9
A_04_2_65-69,12
A_04_2_70-74,21
A_04_2_75-79,23
A_04_2_80-84,23
A_04_2_85 y más,25
A_05_1_45-49,47
A_05_1_50-54,49
A_05_1_55-59,47
A_05_1_60-64,45
A_05_1_65-69,25
A_05_1_70-74,38
A_05_1_75-79,44
A_05_1_80-84,36
A_05_1_85 y más,46
A_05_2_60-64,46
A_05_2_75-79,45
A_05_2_80-84,43
A_08_1_70-74,47
A_08_1_75-79,43
A_08_1_80-84,24
A_08_1_85 y más,24
A_08_2_75-79,32
A_08_2_80-84,31
A_08_2_85 y más,20
A_10_1_20-24,46
A_10_1_55-59,46
A_10_1_65-69,48
A_10_1_75-79,49
A_10_1_80-84,48
A_14_1_40-44,43
A_14_1_45-49,40
A_14_1_65-69,35
A_14_1_70-74,38
A_14_1_80-84,30
A_14_1_85 y más,42
A_14_2_80-84,45
A_15_1_30-34,34
A_15_1_35-39,37
A_15_1_40-44,28
A_15_1_45-49,34
A_15_1_50-54,39
A_15_1_55-59,27
A_15_1_60-64,20
A_15_1_65-69,13
A_15_1_70-74,12
A_15_1_75-79,18
A_15_1_80-84,4
A_15_1_85 y más,13
A_15_2_55-59,48
A_15_2_60-64,42
A_15_2_65-69,28
A_15_2_70-74,15
A_15_2_75-79,13
A_15_2_80-84,10
A_15_2_85 y más,17
A_16_1_10-14,36
A_16_1_15-19,21
A_16_1_20-24,17
A_16_1_25-29,14
A_16_1_30-34,14
A_16_1_35-39,17
A_16_1_40-44,12
A_16_1_45-49,18
A_16_1_50-54,13
A_16_1_55-59,10
A_16_1_60-64,8
A_16_1_65-69,5
A_16_1_70-74,11
A_16_1_75-79,11
A_16_1_80-84,9
A_16_1_85 y más,15
A_16_2_10-14,28
A_16_2_15-19,26
A_16_2_20-24,38
A_16_2_25-29,40
A_16_2_30-34,27
A_16_2_35-39,30
A_16_2_40-44,18
A_16_2_45-49,13
A_16_2_5-9,44
A_16_2_50-54,17
A_16_2_55-59,20
A_16_2_60-64,10
A_16_2_65-69,16
A_16_2_70-74,14
A_16_2_75-79,14
A_16_2_80-84,8
A_16_2_85 y más,13
A_19_1_30-34,42
A_19_1_35-39,34
A_19_1_40-44,35
A_19_1_45-49,29
A_19_1_50-54,25
A_19_1_55-59,30
A_19_1_60-64,17
A_19_1_65-69,13
A_19_1_70-74,17
A_19_1_75-79,19
A_19_1_80-84,14
A_19_1_85 y más,21
A_19_2_20-24,40
A_19_2_25-29,49
A_19_2_35-39,47
A_19_2_40-44,43
A_19_2_45-49,33
A_19_2_50-54,33
A_19_2_55-59,35
A_19_2_60-64,27
A_19_2_65-69,31
A_19_2_70-74,27
A_19_2_75-79,10
A_19_2_80-84,20
A_19_2_85 y más,22
A_20_1_1-4,7
A_20_1_10-14,7
A_20_1_15-19,2
A_20_1_20-24,9
A_20_1_25-29,4
A_20_1_30-34,10
A_20_1_35-39,4
A_20_1_40-44,4
A_20_1_45-49,3
A_20_1_5-9,9
A_20_1_50-54,1
A_20_1_55-59,3
A_20_1_60-64,2
A_20_1_65-69,2
A_20_1_70-74,1
A_20_1_75-79,3
A_20_1_80-84,1
A_20_1_85 y más,2
A_20_1_Menor de 1,3
A_20_2_1-4,15
A_20_2_10-14,3
A_20_2_15-19,4
A_20_2_20-24,6
A_20_2_25-29,6
A_20_2_30-34,7
A_20_2_35-39,2
A_20_2_40-44,2
A_20_2_45-49,4
A_20_2_5-9,7
A_20_2_50-54,2
A_20_2_55-59,3
A_20_2_65-69,3
A_20_2_70-74,2
A_20_2_75-79,1
A_20_2_Menor de 1,2
A_21_1_20-24,48
A_21_1_35-39,30
A_21_1_40-44,36
A_21_1_45-49,39
A_21_1_50-54,23
A_21_1_55-59,22
A_21_1_60-64,18
A_21_1_65-69,16
A_21_1_70-74,21
A_21_1_75-79,18
A_21_1_80-84,11
A_21_1_85 y más,8
A_21_2_35-39,41
A_21_2_40-44,30
A_21_2_45-49,22
A_21_2_50-54,21
A_21_2_55-59,21
A_21_2_60-64,25
A_21_2_65-69,16
A_21_2_70-74,14
A_21_2_75-79,5
A_21_2_80-84,10
A_21_2_85 y más,5
A_22_1_20-24,45
A_22_1_25-29,46
A_22_1_30-34,47
A_22_1_40-44,36
A_22_1_45-49,29
A_22_1_50-54,30
A_22_1_55-59,17
A_22_1_60-64,10
A_22_1_65-69,17
A_22_1_70-74,9
A_22_1_75-79,7
A_22_1_80-84,8
A_22_1_85 y más,9
A_22_2_15-19,37
A_22_2_35-39,45
A_22_2_40-44,33
A_22_2_45-49,19
A_22_2_50-54,21
A_22_2_55-59,19
A_22_2_60-64,16
A_22_2_65-69,17
A_22_2_70-74,18
A_22_2_75-79,8
A_22_2_80-84,10
A_22_2_85 y más,12
A_22_2_Menor de 1,49
A_24_1_35-39,46
A_24_1_45-49,44
A_24_1_50-54,49
A_24_1_70-74,37
A_24_1_75-79,35
A_24_1_80-84,25
A_24_1_85 y más,21
A_24_2_45-49,48
A_24_2_65-69,46
A_24_2_70-74,31
A_24_2_75-79,20
A_24_2_80-84,25
A_24_2_85 y más,19
A_88_1_1-4,16
A_88_1_10-14,5
A_88_1_15-19,3
A_88_1_20-24,4
A_88_1_25-29,4
A_88_1_30-34,5
A_88_1_35-39,1
