prov_res,provincia,anio,egresos,reingresos_30d,grupos_sinteticos,tasa_reingreso_30d
01,Azuay,2020,52564,19420,758,36.94543794
02,Bolívar,2020,9771,3642,656,37.27356463
03,Cañar,2020,17046,7300,703,42.82529626
04,Carchi,2020,10229,3856,630,37.69674455
05,Cotopaxi,2020,22167,8376,728,37.78589796
06,Chimborazo,2020,26283,10092,740,38.39744321
07,El Oro,2020,40238,12625,735,31.37581391
08,Esmeraldas,2020,26734,7995,727,29.90573801
09,Guayas,2020,213743,41052,774,19.20624301
10,Imbabura,2020,25612,9345,725,36.48680306
11,Loja,2020,28131,10962,736,38.96768689
12,Los Ríos,2020,43304,12601,743,29.09892851
13,Manabí,2020,72589,19466,762,26.81673532
14,Morona Santiago,2020,14015,5578,668,39.80021406
15,Napo,2020,6507,2412,568,37.06777317
16,Pastaza,2020,6826,2529,602,37.04951655
17,Pichincha,2020,183114,35256,774,19.25357974
18,Tungurahua,2020,34649,11889,757,34.31267858
19,Zamora Chinchipe,2020,8391,3422,630,40.78179001
20,Galápagos,2020,1618,698,390,43.13967862
21,Sucumbíos,2020,11258,4088,654,36.31195594
22,Orellana,2020,6467,2305,564,35.64249266
23,Santo Domingo de los Tsáchilas,2020,27046,10764,744,39.7988612
24,Santa Elena,2020,18343,6104,692,33.2769994
88,Zona no delimitada,2020,868,367,261,42.28110599
01,Azuay,2021,61492,25551,764,41.55174657
02,Bolívar,2021,10788,4475,686,41.48127549
03,Cañar,2021,18757,8983,729,47.89145386
04,Carchi,2021,11337,4869,658,42.94786981
05,Cotopaxi,2021,24569,9307,736,37.88106964
06,Chimborazo,2021,30591,13175,749,43.06822268
07,El Oro,2021,45895,15968,745,34.79246105
08,Esmeraldas,2021,28219,8677,713,30.74878628
09,Guayas,2021,243294,46218,770,18.99676934
10,Imbabura,2021,38352,19342,755,50.43283271
11,Loja,2021,34397,14209,744,41.30883507
12,Los Ríos,2021,47967,15022,745,31.31736402
13,Manabí,2021,84434,23747,765,28.12492598
14,Morona Santiago,2021,15300,6430,707,42.02614379
15,Napo,2021,8049,3075,607,38.20350354
16,Pastaza,2021,8047,3348,632,41.60556729
17,Pichincha,2021,204706,41161,772,20.1073735
18,Tungurahua,2021,38451,14478,752,37.65311695
19,Zamora Chinchipe,2021,9432,4350,628,46.11959288
20,Galápagos,2021,1788,699,450,39.09395973
21,Sucumbíos,2021,12190,4908,672,40.26251025
22,Orellana,2021,7541,2786,592,36.94470229
23,Santo Domingo de los Tsáchilas,2021,31381,13321,741,42.44925273
24,Santa Elena,2021,20453,7078,706,34.60617024
88,Zona no delimitada,2021,805,330,254,40.99378882
01,Azuay,2022,66942,27784,767,41.50458606
02,Bolívar,2022,12169,5243,699,43.08488783
03,Cañar,2022,20885,10348,735,49.54752215
04,Carchi,2022,11525,5246,672,45.51843818
05,Cotopaxi,2022,27945,10920,751,39.07675792
06,Chimborazo,2022,35926,15637,754,43.52558036
07,El Oro,2022,49513,17072,757,34.47983358
08,Esmeraldas,2022,30536,9248,737,30.28556458
09,Guayas,2022,258996,47036,771,18.16089824
10,Imbabura,2022,40407,18870,756,46.69982924
11,Loja,2022,37284,15455,757,41.45209741
12,Los Ríos,2022,51594,16644,747,32.25956507
13,Manabí,2022,97080,25764,767,26.53893696
14,Morona Santiago,2022,16663,6900,699,41.40911
15,Napo,2022,8632,3277,615,37.96339203
16,Pastaza,2022,9187,3658,649,39.81713291
17,Pichincha,2022,220435,42854,776,19.44065144
18,Tungurahua,2022,44157,16190,756,36.66462848
19,Zamora Chinchipe,2022,10690,4993,660,46.70720299
20,Galápagos,2022,1939,836,432,43.11500774
21,Sucumbíos,2022,12589,4888,666,38.82754786
