prov_res,anio,egresos,reingresos_30d,grupos_sinteticos,tasa_reingreso_30d
01,2020,52072,19246,651,36.96036257
01,2021,60921,25334,652,41.58500353
01,2022,66210,27465,652,41.4816493
01,2023,68164,27256,648,39.98591632
01,2024,65039,27156,648,41.75340949
02,2020,8339,3229,240,38.72166926
02,2021,9025,3896,240,43.16897507
02,2022,10075,4500,240,44.66501241
02,2023,10311,4762,226,46.18368732
02,2024,10399,4982,222,47.90845274
03,2020,15653,6834,375,43.65936242
03,2021,16899,8228,376,48.68927155
03,2022,18884,9539,376,50.51366236
03,2023,19771,10219,372,51.68681402
03,2024,18436,10238,368,55.5326535
04,2020,8861,3439,224,38.810518
04,2021,9478,4202,224,44.33424773
04,2022,9616,4514,223,46.94259567
04,2023,9818,4637,211,47.22957833
04,2024,9626,4832,206,50.19738209
05,2020,20766,7844,434,37.77328325
05,2021,23061,8752,433,37.95151988
05,2022,25957,10043,434,38.69091189
05,2023,26283,10046,427,38.22242514
05,2024,25412,10101,419,39.74893751
06,2020,25442,9809,535,38.55435893
06,2021,29503,12767,533,43.2735654
06,2022,34582,15092,535,43.64120062
06,2023,35415,14972,525,42.27587181
06,2024,32800,13608,524,41.48780488
07,2020,39271,12279,512,31.26734741
07,2021,44744,15533,512,34.71526909
07,2022,48015,16435,512,34.22888681
07,2023,50338,16847,505,33.46775796
07,2024,48527,16723,493,34.46122777
08,2020,24901,7284,391,29.25183728
08,2021,26278,7916,391,30.12405815
08,2022,28675,8500,391,29.64254577
08,2023,27794,8336,382,29.99208462
08,2024,26508,8243,384,31.09627282
09,2020,213550,40969,743,19.18473425
09,2021,243133,46148,743,18.98055797
09,2022,258801,46956,743,18.14367023
09,2023,269899,46414,740,17.19680325
09,2024,257547,45882,741,17.81500076
10,2020,24900,9110,537,36.58634538
10,2021,36978,18681,537,50.51922765
10,2022,39012,18213,537,46.68563519
10,2023,34391,13455,530,39.12360792
10,2024,33303,13418,521,40.2906645
11,2020,27202,10666,503,39.21035218
11,2021,33137,13705,503,41.35860217
11,2022,35618,14688,503,41.23757651
11,2023,35952,14977,499,41.65832221
11,2024,33153,14289,491,43.10017193
12,2020,42229,12187,533,28.85931469
12,2021,46835,14569,533,31.10707804
12,2022,50325,16130,533,32.05166418
12,2023,48768,14893,511,30.53846785
12,2024,47704,15242,514,31.95119906
13,2020,71951,19171,657,26.64452197
13,2021,83756,23456,657,28.00515784
13,2022,96457,25519,657,26.45634842
13,2023,106005,27153,650,25.61482949
13,2024,104697,26091,648,24.92048483
14,2020,12426,5008,309,40.30259134
14,2021,13499,5783,310,42.84021039
14,2022,14903,6232,310,41.81708381
14,2023,15590,6711,305,43.04682489
14,2024,14623,6459,308,44.17014293
15,2020,5006,1971,129,39.3727527
15,2021,6172,2468,129,39.98703824
15,2022,6689,2628,128,39.28838391
15,2023,6868,2682,129,39.05066977
15,2024,7931,3236,129,40.80191653
16,2020,5157,2003,147,38.84041109
16,2021,5926,2545,147,42.94633817
16,2022,6958,2852,147,40.98878988
16,2023,6790,2905,147,42.78350515
16,2024,5917,2606,147,44.04258915
17,2020,183036,35234,750,19.24976507
17,2021,204615,41131,750,20.10165433
17,2022,220309,42805,750,19.42952853
17,2023,234070,43234,750,18.470543
17,2024,224897,42979,750,19.11052615
18,2020,33810,11582,585,34.25613724
18,2021,37585,14153,585,37.65597978
18,2022,43098,15739,585,36.51909601
18,2023,45918,16315,582,35.53072869
18,2024,45657,16930,582,37.08084193
19,2020,6759,2851,216,42.18079598
19,2021,7611,3718,217,48.85034818
19,2022,8885,4342,217,48.86888014
19,2023,9062,4258,217,46.98742
19,2024,9069,4372,217,48.20818172
20,2020,811,516,34,63.62515413
20,2021,760,463,34,60.92105263
20,2022,821,519,34,63.21559074
20,2023,948,582,34,61.39240506
20,2024,907,605,34,66.70341786
21,2020,9403,3474,233,36.94565564
21,2021,10158,4111,233,40.47056507
21,2022,10688,4198,233,39.27769461
21,2023,11929,4777,227,40.04526783
21,2024,12091,4952,226,40.95608304
22,2020,4888,1776,135,36.33387889
22,2021,5672,2133,135,37.60578279
22,2022,6168,2430,135,39.39688716
22,2023,6211,2542,135,40.92738689
22,2024,6771,2958,135,43.68630926
23,2020,25943,10364,512,39.94911922
23,2021,30225,12859,512,42.54425145
23,2022,33221,14011,512,42.17513019
23,2023,34126,13272,500,38.89116802
23,2024,34113,13289,495,38.95582329
24,2020,16850,5595,347,33.20474777
24,2021,18696,6420,347,34.33889602
24,2022,20611,7754,346,37.62068798
24,2023,20548,7678,335,37.36616702
24,2024,20095,7600,336,37.82035332
88,2020,348,256,5,73.56321839
88,2021,311,235,5,75.56270096
88,2022,84,61,5,72.61904762
88,2023,88,74,5,84.09090909
88,2024,89,67,5,75.28089888
